Distance_(pixels),Gray_Value
0,20.000
1,20.916
2,24.980
3,25.000
4,27.972
5,28.583
6,30.480
7,31.410
8,34.932
9,35.979
10,40.883
11,41.000
12,41.972
13,42.000
14,43.934
15,44.000
16,47.850
17,48.960
18,52.831
19,53.956
20,56.250
21,56.965
22,59.084
23,60.061
24,59.089
25,56.967
26,50.279
27,48.850
28,47.388
29,47.026
30,48.859
31,49.927
32,52.775
33,53.272
34,58.011
35,60.098
36,61.059
37,61.000
38,59.178
39,58.091
40,53.468
41,51.770
42,46.547
43,46.000
44,51.029
45,52.583
46,63.478
47,67.522
48,76.810
49,79.787
50,84.252
51,85.520
52,82.380
53,80.747
54,72.061
55,69.145
56,61.152
57,57.906
58,56.167
59,56.721
60,67.161
61,71.571
62,90.021
63,95.582
64,107.693
65,110.520
66,110.244
67,109.588
68,97.656
69,93.667
70,77.158
71,72.333
72,61.192
73,58.171
74,59.816
75,61.970
76,78.522
77,83.639
78,103.817
79,108.487
80,117.570
81,119.207
82,113.722
83,110.105
84,95.385
85,90.501
86,75.615
87,70.407
88,62.061
89,65.775
90,85.529
91,89.672
92,107.946
93,114.564
94,128.258
95,132.778
96,129.124
97,128.038
98,113.146
99,107.429
100,95.286
101,90.564
102,92.731
103,92.799
104,106.922
105,112.870
106,127.192
107,133.003
108,142.853
109,148.234
110,150.440
111,151.518
112,142.920
113,138.460
114,121.141
115,113.119
116,107.410
117,105.590
118,116.041
119,120.177
120,133.105
121,138.799
122,145.429
123,148.712
124,150.303
125,150.754
126,147.402
127,145.956
128,135.766
129,130.138
130,121.641
131,116.845
132,119.990
133,121.902
134,135.685
135,143.433
136,150.180
137,152.844
138,150.869
139,150.000
140,149.008
141,149.112
142,147.358
143,146.093
144,142.817
145,140.454
146,145.934
147,151.310
148,162.850
149,167.915
150,161.727
151,155.792
152,149.307
153,147.772
154,148.534
155,148.068
156,148.422
157,148.237
158,147.982
159,147.979
160,147.813
161,147.607
162,144.960
163,144.515
164,142.580
165,142.841
166,142.166
167,142.827
168,143.672
169,143.295
170,144.897
171,144.821
172,145.391
173,145.766
174,144.029
175,142.613
176,138.899
177,139.426
178,138.016
179,138.767
180,138.980
181,139.589
182,139.805
183,139.000
184,139.487
185,139.269
186,140.447
187,141.110
188,138.682
189,137.300
190,129.190
191,125.503
192,120.488
193,122.482
194,123.257
195,125.681
196,131.995
197,135.623
198,139.017
199,139.845
200,140.603
201,139.892
202,137.473
203,137.866
204,140.699
205,149.618
206,168.354
207,185.052
208,179.209
209,155.117
210,138.869
211,134.578
212,133.754
213,133.688
214,132.772
215,131.504
216,131.494
217,132.387
218,133.423
219,134.511
220,135.387
221,135.486
222,134.245
223,131.997
224,130.335
225,129.527
226,128.730
227,128.180
228,128.255
229,129.067
230,130.639
231,131.803
232,132.025
233,131.644
234,131.099
235,131.000
236,131.447
237,132.000
238,132.000
239,132.260
240,132.234
241,131.861
242,132.071
243,132.478
244,133.000
245,133.000
246,133.000
247,133.000
248,133.419
249,134.246
250,134.508
251,134.602
252,134.547
253,133.855
254,133.180
255,133.904
256,137.006
257,138.434
258,138.010
259,139.197
260,138.375
261,139.139
262,139.508
263,148.627
264,154.943
265,163.452
266,163.466
267,140.634
268,139.051
269,140.605
270,140.184
271,142.198
272,142.439
273,144.103
274,143.209
275,146.666
276,144.185
277,143.112
278,141.857
279,138.903
280,142.230
281,141.982
282,144.450
283,145.269
284,145.876
285,147.522
286,146.398
287,147.861
288,146.258
289,147.243
290,146.798
291,148.047
292,147.749
293,147.622
294,148.371
295,147.979
296,149.831
297,150.993
298,151.639
299,150.536
300,143.949
301,130.344
302,125.717
303,116.529
304,122.012
305,138.286
306,142.117
307,150.000
308,149.653
309,148.948
310,149.316
311,148.780
312,147.965
313,143.825
314,135.059
315,111.656
316,107.239
317,98.755
318,101.782
319,113.562
320,120.452
321,143.780
322,151.852
323,163.156
324,157.453
325,147.525
326,139.277
327,113.724
328,105.419
329,79.460
330,74.225
331,64.644
332,67.569
333,80.925
334,89.382
335,117.629
336,124.279
337,142.815
338,144.670
339,142.213
340,136.657
341,114.494
342,103.852
343,72.400
344,66.584
345,54.721
346,57.780
347,71.162
348,78.094
349,103.200
350,108.534
351,121.391
352,118.834
353,106.714
354,99.180
355,75.314
356,69.690
357,53.672
358,52.808
359,57.159
360,61.058
361,77.719
362,82.068
363,97.396
364,97.869
365,96.227
366,95.286
367,84.555
368,80.738
369,68.372
370,66.143
371,57.972
372,56.574
373,56.852
374,57.767
375,65.049
376,65.677
377,72.511
378,73.637
379,78.000
380,77.009
381,68.892
382,66.525
383,53.794
384,51.194
385,43.902
386,43.096
387,44.026
388,45.110
389,54.293
390,57.416
391,71.923
392,73.825
393,78.721
394,77.193
395,64.370
396,61.752
397,50.275
398,48.279
399,41.590
400,41.566
401,43.401
402,43.671
403,51.165
404,54.087
405,59.420
406,59.331
407,56.918
408,56.296
409,47.882
410,46.926
411,40.585
412,39.486
413,40.143
414,40.185
415,45.962
416,46.634
417,50.941
418,51.463
419,52.590
420,51.958
421,47.944
422,46.969
423,39.974
424,38.701
425,33.327
426,33.082
427,33.000
