t,V1
0.00195875,0.0028
0.001958751,0.0024000000000000002
0.001958752,0.0008
0.001958753,0.0004
0.001958754,0.0
0.001958755,0.0
0.001958756,0.0008
0.0019587569999999998,0.002
0.001958758,0.0024000000000000002
0.001958759,0.002
0.00195876,0.002
0.001958761,0.0016
0.001958762,0.0008
0.001958763,0.0
0.001958764,0.0004
0.001958765,-0.0004
0.001958766,-0.0008
0.001958767,-0.0004
0.001958768,0.0008
0.001958769,0.002
0.00195877,0.002
0.0019587709999999998,0.0028
0.001958772,0.0028
0.001958773,0.0016
0.001958774,0.0008
0.001958775,0.0004
0.001958776,0.0008
0.001958777,0.0004
0.001958778,0.0008
0.001958779,0.002
0.00195878,0.002
0.001958781,0.0016
0.001958782,0.0008
0.001958783,0.0008
0.001958784,0.0
0.0019587849999999998,0.0
0.001958786,-0.0004
0.001958787,0.0
0.001958788,0.0008
0.001958789,0.002
0.00195879,0.0024000000000000002
0.001958791,0.0024000000000000002
0.001958792,0.0028
0.001958793,0.0016
0.001958794,0.0012000000000000001
0.001958795,0.0008
0.001958796,0.0004
0.001958797,0.0008
0.001958798,0.0008
0.001958799,0.0016
0.0019588,0.002
0.001958801,0.002
0.001958802,0.002
0.001958803,0.0016
0.001958804,0.0008
0.001958805,0.0008
0.001958806,0.0004
0.001958807,0.0008
0.001958808,0.0016
0.001958809,0.002
0.00195881,0.0016
0.001958811,0.0016
0.001958812,0.0012000000000000001
0.001958813,0.0004
0.001958814,0.0008
0.001958815,0.0
0.001958816,-0.0004
0.001958817,0.0008
0.001958818,0.0016
0.001958819,0.0016
0.00195882,0.0016
0.001958821,0.002
0.001958822,0.002
0.001958823,0.0016
0.001958824,0.0008
0.001958825,0.0
0.001958826,0.0
0.001958827,-0.0004
0.001958828,0.0012000000000000001
0.001958829,0.002
0.00195883,0.0024000000000000002
0.001958831,0.002
0.001958832,0.0016
0.001958833,0.0008
0.001958834,-0.0004
0.001958835,-0.0008
0.001958836,-0.0004
0.001958837,0.0004
0.001958838,0.0016
0.001958839,0.0024000000000000002
0.00195884,0.0036000000000000003
0.001958841,0.0032
0.001958842,0.0016
0.001958843,0.0008
0.001958844,0.0
0.001958845,-0.0004
0.001958846,-0.0008
0.001958847,0.0
0.001958848,0.0012000000000000001
0.001958849,0.0028
0.00195885,0.0032
0.001958851,0.0028
0.001958852,0.0024000000000000002
0.001958853,0.0008
0.001958854,-0.0004
0.001958855,-0.0004
0.001958856,-0.0008
0.001958857,0.0
0.001958858,0.0008
0.001958859,0.0016
0.00195886,0.0028
0.001958861,0.0032
0.001958862,0.002
0.001958863,0.0012000000000000001
0.001958864,0.0
0.001958865,-0.0012000000000000001
0.001958866,-0.002
0.001958867,-0.0012000000000000001
0.001958868,-0.0004
0.001958869,0.0008
0.00195887,0.0016
0.001958871,0.0028
0.001958872,0.0024000000000000002
0.001958873,0.0016
0.0019588739999999998,0.0004
0.001958875,-0.0004
0.001958876,-0.0012000000000000001
0.001958877,-0.0012000000000000001
0.001958878,0.0004
0.001958879,0.0012000000000000001
0.00195888,0.0024000000000000002
0.001958881,0.0032
0.001958882,0.0032
0.001958883,0.0024000000000000002
0.001958884,0.0016
0.001958885,0.0008
0.001958886,-0.0008
0.001958887,-0.0012000000000000001
0.0019588879999999998,-0.0012000000000000001
0.001958889,0.0
0.00195889,0.0016
0.001958891,0.0024000000000000002
0.001958892,0.0028
0.001958893,0.0028
0.001958894,0.002
0.001958895,0.0012000000000000001
0.001958896,-0.0004
0.001958897,-0.0004
0.001958898,0.0
0.001958899,0.0008
0.0019589,0.0016
0.001958901,0.0024000000000000002
0.0019589019999999998,0.0028
0.001958903,0.0028
0.001958904,0.0028
0.001958905,0.0016
0.001958906,0.0004
0.001958907,0.0004
0.001958908,-0.0004
0.001958909,0.0
0.00195891,0.0012000000000000001
0.001958911,0.0024000000000000002
0.001958912,0.0024000000000000002
0.001958913,0.002
0.001958914,0.0028
0.001958915,0.0024000000000000002
0.0019589159999999998,0.0016
0.001958917,0.0012000000000000001
0.001958918,0.0004
0.001958919,0.0008
0.00195892,0.0012000000000000001
0.001958921,0.0024000000000000002
0.001958922,0.002
0.001958923,0.002
0.001958924,0.002
0.001958925,0.0012000000000000001
0.001958926,0.0004
0.001958927,0.0004
0.001958928,0.0004
0.001958929,0.0008
0.00195893,0.0004
0.001958931,0.0008
0.001958932,0.0012000000000000001
0.001958933,0.0012000000000000001
0.001958934,0.0012000000000000001
0.001958935,0.002
0.001958936,0.0008
0.001958937,0.0012000000000000001
0.001958938,0.0012000000000000001
0.001958939,0.0016
0.00195894,0.002
0.001958941,0.0016
0.001958942,0.002
0.001958943,0.002
0.001958944,0.0024000000000000002
0.001958945,0.0016
0.001958946,0.0008
0.001958947,0.0004
0.001958948,0.0004
0.001958949,0.0
0.00195895,0.0004
0.001958951,0.0008
0.001958952,0.0012000000000000001
0.001958953,0.0008
0.001958954,0.0016
0.001958955,0.0016
0.001958956,0.0012000000000000001
0.001958957,0.0004
0.001958958,0.0004
0.001958959,0.0008
0.00195896,0.0012000000000000001
0.001958961,0.0016
0.001958962,0.002
0.001958963,0.0016
0.001958964,0.002
0.001958965,0.002
0.001958966,0.0012000000000000001
0.001958967,0.0008
0.001958968,0.0008
0.001958969,0.0004
0.00195897,0.0004
0.001958971,0.0012000000000000001
0.001958972,0.0016
0.001958973,0.0012000000000000001
0.001958974,0.002
0.001958975,0.0016
0.001958976,0.0008
0.001958977,0.0008
0.001958978,0.0004
0.001958979,0.0004
0.00195898,0.0004
0.001958981,0.0008
0.001958982,0.0012000000000000001
0.001958983,0.0012000000000000001
0.001958984,0.0016
0.001958985,0.0004
0.001958986,0.0004
0.001958987,0.0
0.001958988,0.0004
0.001958989,0.0004
0.00195899,0.0008
0.001958991,0.0012000000000000001
0.001958992,0.0012000000000000001
0.001958993,0.0016
0.001958994,0.0024000000000000002
0.001958995,0.002
0.001958996,0.0012000000000000001
0.001958997,0.0008
0.001958998,0.0008
0.001958999,0.0004
0.001959,0.0008
0.001959001,0.0016
0.001959002,0.0016
0.001959003,0.002
0.001959004,0.002
0.0019590049999999998,0.0016
0.001959006,0.0016
0.001959007,0.0008
0.001959008,0.0
0.001959009,0.0004
0.00195901,0.0004
0.001959011,0.0004
0.001959012,0.0012000000000000001
0.001959013,0.0012000000000000001
0.001959014,0.0008
0.001959015,0.0016
0.001959016,0.0016
0.001959017,0.0008
0.001959018,0.0004
0.0019590189999999998,0.0004
0.00195902,0.0016
0.001959021,0.0012000000000000001
0.001959022,0.0012000000000000001
0.001959023,0.0016
0.001959024,0.0024000000000000002
0.001959025,0.0024000000000000002
0.001959026,0.002
0.001959027,0.0012000000000000001
0.001959028,0.0012000000000000001
0.001959029,0.0
0.00195903,0.0008
0.001959031,0.0004
0.001959032,0.0
0.0019590329999999998,0.0
0.001959034,0.0004
0.001959035,0.0004
0.001959036,0.0012000000000000001
0.001959037,0.0016
0.001959038,0.002
0.001959039,0.0016
0.00195904,0.0012000000000000001
0.001959041,0.0004
0.001959042,0.0008
0.001959043,0.0
0.001959044,0.0008
0.001959045,0.0008
0.001959046,0.0012000000000000001
0.001959047,0.002
0.001959048,0.0016
0.001959049,0.002
0.00195905,0.0016
0.001959051,0.0008
0.001959052,0.0
0.001959053,0.0004
0.001959054,0.0004
0.001959055,0.0004
0.001959056,0.0004
0.001959057,0.0004
0.001959058,0.0012000000000000001
0.001959059,0.0012000000000000001
0.00195906,0.002
0.001959061,0.0016
0.001959062,0.0016
0.001959063,0.0004
0.001959064,0.0
0.001959065,0.0004
0.001959066,0.0008
0.001959067,0.0016
0.001959068,0.0024000000000000002
0.001959069,0.0032
0.00195907,0.0032
0.001959071,0.0028
0.001959072,0.002
0.001959073,0.0012000000000000001
0.001959074,0.0
0.001959075,-0.0004
0.001959076,-0.0004
0.001959077,0.0
0.001959078,0.0008
0.001959079,0.0012000000000000001
0.00195908,0.002
0.001959081,0.002
0.001959082,0.002
0.001959083,0.0012000000000000001
0.001959084,0.0004
0.001959085,0.0
0.001959086,0.0004
0.001959087,0.0008
0.001959088,0.0012000000000000001
0.001959089,0.002
0.00195909,0.0028
0.001959091,0.0024000000000000002
0.001959092,0.0024000000000000002
0.001959093,0.002
0.001959094,0.0004
0.001959095,0.0004
0.001959096,0.0
0.001959097,0.0
0.001959098,0.0004
0.001959099,0.0016
0.0019591,0.0024000000000000002
0.001959101,0.0028
0.001959102,0.0028
0.001959103,0.0016
0.001959104,0.0008
0.001959105,0.0004
0.001959106,-0.0004
0.001959107,-0.0004
0.001959108,0.0004
0.001959109,0.0012000000000000001
0.00195911,0.0016
0.001959111,0.002
0.001959112,0.0016
0.001959113,0.0008
0.001959114,0.0008
0.001959115,0.0
0.001959116,-0.0008
0.001959117,-0.0008
0.001959118,0.0
0.001959119,0.0012000000000000001
0.00195912,0.002
0.001959121,0.002
0.0019591219999999998,0.002
0.001959123,0.0012000000000000001
0.001959124,0.0008
0.001959125,0.0008
0.001959126,0.0004
0.001959127,0.0008
0.001959128,0.0004
0.001959129,0.002
0.00195913,0.002
0.001959131,0.0016
0.001959132,0.0012000000000000001
0.001959133,0.0008
0.001959134,0.0004
0.001959135,0.0004
0.0019591359999999998,0.0008
0.001959137,0.0012000000000000001
0.001959138,0.002
0.001959139,0.002
0.00195914,0.002
0.001959141,0.0032
0.001959142,0.0024000000000000002
0.001959143,0.002
0.001959144,0.0012000000000000001
0.001959145,0.0008
0.001959146,0.0008
0.001959147,0.0
0.001959148,0.0016
0.001959149,0.0024000000000000002
0.0019591499999999998,0.0032
0.001959151,0.0024000000000000002
0.001959152,0.002
0.001959153,0.0012000000000000001
0.001959154,0.0004
0.001959155,-0.0004
0.001959156,-0.0012000000000000001
0.001959157,-0.0008
0.001959158,0.0
0.001959159,0.0012000000000000001
0.00195916,0.0016
0.001959161,0.002
0.001959162,0.0016
0.001959163,0.0008
0.001959164,0.0
0.001959165,-0.0004
0.001959166,-0.0004
0.001959167,0.0
0.001959168,0.0012000000000000001
0.001959169,0.0024000000000000002
0.00195917,0.0032
0.001959171,0.0028
0.001959172,0.0032
0.001959173,0.0016
0.001959174,0.0
0.001959175,-0.0008
0.001959176,-0.0008
0.001959177,-0.0008
0.001959178,-0.0004
0.001959179,0.0008
0.00195918,0.0016
0.001959181,0.0028
0.001959182,0.0036000000000000003
0.001959183,0.0016
0.001959184,0.0008
0.001959185,-0.0004
0.001959186,-0.0008
0.001959187,-0.0012000000000000001
0.001959188,-0.0008
0.001959189,0.0
0.00195919,0.0016
0.001959191,0.0024000000000000002
0.001959192,0.0028
0.001959193,0.0024000000000000002
0.001959194,0.0016
0.001959195,0.0004
0.001959196,-0.0004
0.001959197,-0.0008
0.001959198,-0.0008
0.001959199,0.0
0.0019592,0.0008
0.001959201,0.002
0.001959202,0.002
0.001959203,0.002
0.001959204,0.0016
0.001959205,0.0004
0.001959206,-0.0004
0.001959207,0.0
0.001959208,0.0
0.001959209,0.0004
0.00195921,0.0008
0.001959211,0.0012000000000000001
0.001959212,0.0016
0.001959213,0.0024000000000000002
0.001959214,0.0024000000000000002
0.001959215,0.0016
0.001959216,0.0008
0.001959217,0.0004
0.001959218,0.0
0.001959219,0.0004
0.00195922,0.0004
0.001959221,0.0012000000000000001
0.001959222,0.0008
0.001959223,0.0012000000000000001
0.001959224,0.002
0.001959225,0.002
0.001959226,0.0016
0.001959227,0.0008
0.001959228,0.0008
0.001959229,0.0008
0.00195923,0.0
0.001959231,0.0004
0.001959232,0.0012000000000000001
0.001959233,0.0008
0.001959234,0.0016
0.001959235,0.002
0.001959236,0.0024000000000000002
0.001959237,0.0016
0.001959238,0.0008
0.0019592389999999998,0.0004
0.00195924,0.0008
0.001959241,0.0004
0.001959242,0.0008
0.001959243,0.0012000000000000001
0.001959244,0.0016
0.001959245,0.002
0.001959246,0.0016
0.001959247,0.0012000000000000001
0.001959248,0.0016
0.001959249,0.0012000000000000001
0.00195925,0.0004
0.001959251,0.002
0.001959252,0.002
0.0019592529999999998,0.0016
0.001959254,0.0012000000000000001
0.001959255,0.0008
0.001959256,0.0012000000000000001
0.001959257,0.0016
0.001959258,0.0012000000000000001
0.001959259,0.0012000000000000001
0.00195926,0.0008
0.001959261,0.0008
0.001959262,0.0
0.001959263,0.0004
0.001959264,0.0
0.001959265,0.0004
0.001959266,0.0004
0.0019592669999999998,0.0016
0.001959268,0.0016
0.001959269,0.002
0.00195927,0.002
0.001959271,0.002
0.001959272,0.0012000000000000001
0.001959273,0.0008
0.001959274,0.0016
0.001959275,0.0012000000000000001
0.001959276,0.0016
0.001959277,0.002
0.001959278,0.0016
0.001959279,0.0012000000000000001
0.00195928,0.0008
0.001959281,0.0012000000000000001
0.001959282,0.0004
0.001959283,0.0004
0.001959284,0.0004
0.001959285,0.0008
0.001959286,0.0012000000000000001
0.001959287,0.0016
0.001959288,0.0012000000000000001
0.001959289,0.0012000000000000001
0.00195929,0.0008
0.001959291,0.0016
0.001959292,0.0008
0.001959293,0.0012000000000000001
0.001959294,0.0012000000000000001
0.001959295,0.0012000000000000001
0.001959296,0.0016
0.001959297,0.002
0.001959298,0.0016
0.001959299,0.0016
0.0019593,0.002
0.001959301,0.0008
0.001959302,0.0012000000000000001
0.001959303,0.0012000000000000001
0.001959304,0.0012000000000000001
0.001959305,0.0012000000000000001
0.001959306,0.0016
0.001959307,0.0016
0.001959308,0.0016
0.001959309,0.0016
0.00195931,0.0016
0.001959311,0.0008
0.001959312,0.0012000000000000001
0.001959313,0.0004
0.001959314,0.0004
