t,V1
-0.02304,0.004
-0.023020000000000002,0.004
-0.023000000000000003,0.004
-0.02298,0.004
-0.02296,0.004
-0.022940000000000002,0.002
-0.022920000000000003,0.002
-0.0229,0.002
-0.02288,0.002
-0.022860000000000002,0.002
-0.022840000000000003,0.002
-0.02282,0.004
-0.0228,0.0
-0.02278,0.002
-0.022760000000000002,0.004
-0.02274,0.002
-0.02272,0.004
-0.0227,0.006
-0.022680000000000002,0.004
-0.022660000000000003,0.002
-0.02264,0.0
-0.02262,0.002
-0.022600000000000002,0.006
-0.022580000000000003,0.002
-0.02256,0.006
-0.02254,0.002
-0.022520000000000002,0.002
-0.022500000000000003,0.004
-0.02248,0.002
-0.02246,0.002
-0.02244,0.004
-0.022420000000000002,0.004
-0.0224,0.002
-0.02238,0.002
-0.02236,0.004
-0.022340000000000002,0.004
-0.022320000000000003,0.004
-0.0223,0.002
-0.02228,0.006
-0.022260000000000002,0.004
-0.022240000000000003,0.004
-0.02222,0.002
-0.0222,0.004
-0.022180000000000002,0.002
-0.022160000000000003,0.002
-0.02214,0.002
-0.02212,0.002
-0.0221,0.004
-0.022080000000000002,0.002
-0.02206,0.002
-0.02204,0.002
-0.02202,0.004
-0.022000000000000002,0.0
-0.02198,0.002
-0.02196,0.004
-0.02194,-0.002
-0.021920000000000002,0.002
-0.021900000000000003,0.0
-0.02188,0.004
-0.02186,0.0
-0.021840000000000002,0.0
-0.021820000000000003,-0.002
-0.0218,0.002
-0.02178,0.002
-0.02176,0.004
-0.021740000000000002,0.002
-0.02172,0.0
-0.0217,0.004
-0.02168,0.004
-0.021660000000000002,-0.002
-0.02164,-0.002
-0.02162,0.004
-0.0216,0.002
-0.021580000000000002,0.004
-0.021560000000000003,0.006
-0.02154,0.002
-0.02152,0.002
-0.021500000000000002,0.002
-0.021480000000000003,0.002
-0.02146,0.004
-0.02144,0.002
-0.02142,0.002
-0.021400000000000002,0.0
-0.02138,0.002
-0.02136,0.002
-0.02134,0.002
-0.021320000000000002,0.002
-0.0213,0.0
-0.02128,0.002
-0.02126,0.004
-0.021240000000000002,0.002
-0.021220000000000003,0.002
-0.0212,0.002
-0.02118,0.004
-0.02116,0.002
-0.021140000000000003,0.002
-0.02112,0.002
-0.0211,0.0
-0.02108,0.002
-0.021060000000000002,0.002
-0.021040000000000003,0.002
-0.02102,0.0
-0.021,0.002
-0.020980000000000002,0.0
-0.02096,0.002
-0.02094,0.002
-0.02092,0.002
-0.020900000000000002,0.0
-0.020880000000000003,-0.002
-0.02086,-0.002
-0.02084,0.0
-0.02082,0.002
-0.020800000000000003,0.0
-0.02078,0.002
-0.02076,0.0
-0.02074,0.0
-0.020720000000000002,-0.002
-0.020700000000000003,0.0
-0.02068,0.004
-0.02066,0.002
-0.020640000000000002,0.002
-0.02062,0.0
-0.0206,0.002
-0.02058,0.002
-0.020560000000000002,0.002
-0.020540000000000003,0.002
-0.02052,-0.002
-0.0205,0.002
-0.02048,0.002
-0.020460000000000002,0.002
-0.02044,0.002
-0.02042,0.002
-0.0204,0.002
-0.020380000000000002,0.0
-0.020360000000000003,0.0
-0.02034,0.0
-0.02032,0.002
-0.020300000000000002,0.002
-0.02028,0.002
-0.02026,0.002
-0.02024,0.0
-0.020220000000000002,0.002
-0.020200000000000003,0.002
-0.02018,0.002
-0.02016,-0.002
-0.02014,0.002
-0.020120000000000002,0.002
-0.0201,0.002
-0.02008,0.002
-0.02006,0.002
-0.020040000000000002,0.006
-0.020020000000000003,0.002
-0.02,-0.004
-0.01998,-0.006
-0.019960000000000002,-0.004
-0.01994,-0.004
-0.01992,-0.002
-0.0199,-0.002
-0.019880000000000002,0.0
-0.019860000000000003,-0.002
-0.01984,-0.006
-0.01982,0.0
-0.0198,0.002
-0.019780000000000002,0.0
-0.01976,-0.002
-0.01974,0.0
-0.01972,0.002
-0.019700000000000002,-0.002
-0.019680000000000003,0.0
-0.01966,0.0
-0.01964,0.0
-0.019620000000000002,0.002
-0.0196,0.0
-0.01958,0.002
-0.01956,-0.002
-0.019540000000000002,-0.002
-0.019520000000000003,-0.002
-0.0195,-0.002
-0.01948,-0.004
-0.01946,0.0
-0.019440000000000002,0.0
-0.01942,-0.002
-0.0194,-0.002
-0.01938,-0.004
-0.019360000000000002,-0.008
-0.019340000000000003,-0.006
-0.01932,-0.006
-0.0193,-0.006
-0.019280000000000002,-0.004
-0.01926,-0.006
-0.01924,-0.004
-0.01922,-0.004
-0.019200000000000002,-0.004
-0.019180000000000003,-0.002
-0.01916,-0.006
-0.01914,-0.004
-0.01912,-0.002
-0.019100000000000002,-0.004
-0.01908,-0.002
-0.01906,-0.004
-0.01904,0.0
-0.019020000000000002,0.002
-0.019000000000000003,0.0
-0.01898,0.0
-0.01896,0.0
-0.018940000000000002,-0.002
-0.01892,-0.002
-0.0189,0.0
-0.01888,0.002
-0.018860000000000002,0.0
-0.018840000000000003,-0.002
-0.01882,-0.002
-0.0188,-0.002
-0.01878,-0.004
-0.018760000000000002,0.0
-0.01874,-0.002
-0.01872,0.0
-0.0187,-0.004
-0.018680000000000002,0.0
-0.018660000000000003,0.002
-0.01864,0.0
-0.01862,-0.002
-0.018600000000000002,0.0
-0.01858,0.0
-0.01856,-0.002
-0.01854,-0.004
-0.018520000000000002,-0.002
-0.018500000000000003,-0.002
-0.01848,-0.002
-0.01846,-0.004
-0.01844,-0.002
-0.018420000000000002,0.0
-0.0184,-0.002
-0.01838,-0.002
-0.01836,-0.002
-0.018340000000000002,-0.002
-0.018320000000000003,0.002
-0.0183,0.0
-0.01828,0.002
-0.018260000000000002,-0.002
-0.01824,0.0
-0.01822,0.002
-0.0182,0.0
-0.01818,0.002
-0.018160000000000003,0.0
-0.01814,0.0
-0.01812,0.0
-0.0181,-0.002
-0.018080000000000002,0.002
-0.01806,0.0
-0.01804,-0.002
-0.01802,-0.002
-0.018000000000000002,-0.002
-0.017980000000000003,-0.002
-0.01796,-0.002
-0.01794,0.002
-0.017920000000000002,-0.006
-0.0179,-0.008
-0.01788,-0.006
-0.01786,-0.006
-0.01784,-0.008
-0.017820000000000003,-0.004
-0.0178,-0.004
-0.01778,-0.004
-0.01776,-0.006
-0.017740000000000002,-0.004
-0.01772,-0.006
-0.0177,-0.004
-0.01768,-0.002
-0.017660000000000002,-0.002
-0.017640000000000003,-0.004
-0.01762,-0.002
-0.0176,-0.002
-0.017580000000000002,-0.002
-0.01756,-0.002
-0.01754,0.0
-0.01752,-0.016
-0.0175,-0.014
-0.017480000000000002,-0.014
-0.01746,-0.012
-0.01744,-0.01
-0.01742,-0.012
-0.017400000000000002,-0.01
-0.01738,-0.008
-0.01736,-0.008
-0.01734,-0.008
-0.017320000000000002,-0.008
-0.017300000000000003,-0.008
-0.01728,-0.006
-0.01726,-0.008
-0.017240000000000002,-0.006
-0.01722,-0.004
-0.0172,-0.004
-0.01718,-0.006
-0.01716,-0.004
-0.017140000000000002,-0.004
-0.01712,-0.004
-0.0171,-0.004
-0.01708,-0.004
-0.017060000000000002,-0.002
-0.01704,-0.002
-0.01702,-0.004
-0.017,-0.006
-0.016980000000000002,-0.004
-0.016960000000000003,-0.004
-0.01694,-0.004
-0.01692,-0.004
