t,V1
-1.25e-05,0.0012000000000000001
-1.249e-05,0.0012000000000000001
-1.248e-05,0.0016
-1.2470000000000001e-05,0.0024000000000000002
-1.2460000000000001e-05,0.0028
-1.2450000000000001e-05,0.0024000000000000002
-1.2440000000000001e-05,0.0028
-1.2430000000000001e-05,0.0016
-1.2420000000000001e-05,0.0024000000000000002
-1.241e-05,0.002
-1.24e-05,0.0024000000000000002
-1.239e-05,0.0032
-1.238e-05,0.0036000000000000003
-1.237e-05,0.004
-1.236e-05,0.0044
-1.235e-05,0.004
-1.234e-05,0.004
-1.233e-05,0.004
-1.232e-05,0.0024000000000000002
-1.231e-05,0.0024000000000000002
-1.23e-05,0.002
-1.2290000000000001e-05,0.0016
-1.2280000000000001e-05,0.0008
-1.2270000000000001e-05,0.002
-1.2260000000000001e-05,0.0016
-1.2250000000000001e-05,0.002
-1.2240000000000001e-05,0.0016
-1.223e-05,0.004
-1.222e-05,0.002
-1.221e-05,0.0028
-1.22e-05,0.0008
-1.219e-05,0.002
-1.218e-05,-0.0004
-1.217e-05,0.0016
-1.216e-05,0.0016
-1.215e-05,0.0032
-1.214e-05,0.0032
-1.213e-05,0.0032
-1.2120000000000001e-05,0.0028
-1.2110000000000001e-05,0.0016
-1.2100000000000001e-05,0.0008
-1.2090000000000001e-05,0.0012000000000000001
-1.2080000000000001e-05,0.0008
-1.2070000000000001e-05,0.0012000000000000001
-1.206e-05,0.0016
-1.205e-05,0.002
-1.204e-05,0.0024000000000000002
-1.203e-05,0.0024000000000000002
-1.202e-05,0.002
-1.201e-05,0.0016
-1.2e-05,0.0016
-1.199e-05,0.0008
-1.198e-05,0.0016
-1.197e-05,0.002
-1.196e-05,0.0032
-1.195e-05,0.0032
-1.1940000000000001e-05,0.004
-1.1930000000000001e-05,0.0028
-1.1920000000000001e-05,0.0032
-1.1910000000000001e-05,0.0008
-1.1900000000000001e-05,0.0016
-1.1890000000000001e-05,-0.0004
-1.1880000000000001e-05,0.0008
-1.187e-05,0.0008
-1.186e-05,0.002
-1.185e-05,0.0008
-1.184e-05,0.0016
-1.183e-05,0.002
-1.182e-05,-0.0008
-1.181e-05,0.0
-1.18e-05,0.0
-1.179e-05,0.0
-1.178e-05,-0.0004
-1.177e-05,0.0012000000000000001
-1.1760000000000001e-05,0.0012000000000000001
-1.1750000000000001e-05,0.0024000000000000002
-1.1740000000000001e-05,0.0024000000000000002
-1.1730000000000001e-05,0.004
-1.1720000000000001e-05,0.0032
-1.1710000000000001e-05,0.0044
-1.17e-05,0.0028
-1.169e-05,0.002
-1.168e-05,0.0012000000000000001
-1.167e-05,0.0008
-1.166e-05,0.0004
-1.165e-05,0.0024000000000000002
-1.164e-05,0.0016
-1.163e-05,0.0028
-1.162e-05,0.0016
-1.161e-05,0.002
-1.16e-05,0.0024000000000000002
-1.159e-05,0.0016
