t,V1
-0.125,0.24
-0.1249,0.2
-0.1248,0.16
-0.1247,0.16
-0.1246,0.2
-0.1245,0.24
-0.1244,0.28
-0.1243,0.24
-0.1242,0.24
-0.1241,0.24
-0.124,0.24
-0.1239,0.2
-0.1238,0.24
-0.1237,0.24
-0.1236,0.24
-0.1235,0.32
-0.1234,0.24
-0.12329999999999999,0.24
-0.1232,0.24
-0.1231,0.2
-0.123,0.28
-0.1229,0.24
-0.1228,0.24
-0.1227,0.24
-0.1226,0.24
-0.1225,0.24
-0.1224,0.2
-0.1223,0.2
-0.1222,0.2
-0.1221,0.12
-0.122,0.16
-0.1219,0.16
-0.1218,0.24
-0.1217,0.24
-0.1216,0.28
-0.1215,0.24
-0.1214,0.24
-0.1213,0.24
-0.1212,0.2
-0.1211,0.28
-0.121,0.2
-0.1209,0.24
-0.1208,0.28
-0.1207,0.24
-0.1206,0.2
-0.1205,0.24
-0.12040000000000001,0.24
-0.1203,0.24
-0.1202,0.2
-0.1201,0.24
-0.12,0.24
-0.1199,0.2
-0.1198,0.28
-0.1197,0.32
-0.1196,0.28
-0.1195,0.28
-0.1194,0.24
-0.1193,0.28
-0.1192,0.24
-0.1191,0.24
-0.119,0.2
-0.1189,0.16
-0.1188,0.16
-0.1187,0.2
-0.1186,0.12
-0.1185,0.2
-0.1184,0.24
-0.1183,0.2
-0.1182,0.24
-0.1181,0.24
-0.118,0.24
-0.1179,0.24
-0.1178,0.28
-0.1177,0.24
-0.1176,0.24
-0.1175,0.24
-0.1174,0.24
-0.1173,0.24
-0.1172,0.24
-0.1171,0.24
-0.11699999999999999,0.28
-0.1169,0.28
-0.1168,0.32
-0.1167,0.32
-0.1166,0.32
-0.11649999999999999,0.28
-0.1164,0.28
-0.1163,0.28
-0.1162,0.32
-0.1161,0.24
-0.11599999999999999,0.24
-0.1159,0.32
-0.1158,0.24
-0.1157,0.24
-0.1156,0.32
-0.1155,0.32
-0.1154,0.36
-0.1153,0.36
-0.1152,0.32
-0.1151,0.32
-0.115,0.28
-0.1149,0.32
-0.1148,0.28
-0.1147,0.4
-0.1146,0.4
-0.1145,0.32
-0.1144,0.36
-0.1143,0.4
-0.1142,0.32
-0.11410000000000001,0.24
-0.114,0.24
-0.1139,0.24
-0.1138,0.24
-0.1137,0.24
-0.1136,0.24
-0.1135,0.2
-0.1134,0.2
-0.1133,0.16
-0.1132,0.24
-0.1131,0.24
-0.113,0.28
-0.1129,0.32
-0.1128,0.36
-0.1127,0.24
-0.1126,0.24
-0.1125,0.24
-0.1124,0.24
-0.1123,0.24
-0.1122,0.24
-0.1121,0.28
-0.112,0.24
-0.1119,0.24
-0.1118,0.28
-0.1117,0.28
-0.1116,0.24
-0.1115,0.28
-0.1114,0.28
-0.1113,0.32
-0.1112,0.32
-0.1111,0.28
-0.111,0.24
-0.1109,0.24
-0.1108,0.32
-0.11069999999999999,0.32
-0.1106,0.4
-0.1105,0.44
-0.1104,0.36
-0.1103,0.36
-0.11019999999999999,0.36
-0.1101,0.44
-0.11,0.36
-0.1099,0.36
-0.1098,0.36
-0.10969999999999999,0.32
-0.1096,0.36
-0.1095,0.36
-0.1094,0.36
-0.1093,0.36
-0.10919999999999999,0.36
-0.1091,0.44
-0.109,0.44
-0.1089,0.48
