t,V1
-0.000254,0.0028
-0.0002538,0.0028
-0.0002536,0.0024000000000000002
-0.0002534,0.0012000000000000001
-0.0002532,0.0024000000000000002
-0.00025299999999999997,0.002
-0.0002528,0.0036000000000000003
-0.0002526,0.0028
-0.0002524,0.0032
-0.0002522,0.004
-0.000252,0.0032
-0.0002518,0.0044
-0.0002516,0.0036000000000000003
-0.0002514,0.0028
-0.0002512,0.0032
-0.000251,0.0016
-0.00025079999999999997,0.0028
-0.0002506,0.0012000000000000001
-0.0002504,0.0024000000000000002
-0.0002502,0.0
-0.00025,0.0008
-0.0002498,0.002
-0.0002496,0.0016
-0.0002494,0.0024000000000000002
-0.0002492,0.0012000000000000001
-0.000249,0.0008
-0.0002488,0.0024000000000000002
-0.00024859999999999997,0.0032
-0.0002484,0.0032
-0.0002482,0.0028
-0.000248,0.0012000000000000001
-0.0002478,0.0
-0.0002476,0.0012000000000000001
-0.0002474,0.0008
-0.0002472,0.0016
-0.000247,0.0012000000000000001
-0.0002468,0.0004
-0.0002466,0.0012000000000000001
-0.00024639999999999997,0.0008
-0.0002462,0.0012000000000000001
-0.000246,0.0028
-0.0002458,0.0012000000000000001
-0.0002456,0.0032
-0.0002454,0.0016
-0.0002452,0.0028
-0.000245,0.0032
-0.0002448,0.0036000000000000003
-0.0002446,0.0032
-0.0002444,0.002
-0.00024419999999999997,0.0032
-0.000244,0.0024000000000000002
-0.0002438,0.0016
-0.00024359999999999999,0.0028
-0.0002434,0.002
-0.0002432,0.0032
-0.000243,0.0024000000000000002
-0.0002428,0.0044
-0.0002426,0.0044
-0.00024239999999999998,0.0048000000000000004
-0.0002422,0.0044
-0.000242,0.0028
-0.0002418,0.0036000000000000003
-0.0002416,0.0032
-0.00024139999999999999,0.0036000000000000003
-0.0002412,0.0056
-0.000241,0.0016
-0.0002408,0.0028
-0.0002406,0.0004
-0.0002404,0.0016
-0.00024019999999999998,0.002
-0.00024,0.0024000000000000002
-0.0002398,0.0008
-0.0002396,0.0004
-0.0002394,0.0016
-0.0002392,0.0012000000000000001
-0.000239,0.0012000000000000001
-0.0002388,0.0024000000000000002
-0.0002386,0.002
-0.0002384,0.002
-0.0002382,0.0016
-0.00023799999999999998,0.0016
-0.00023779999999999998,0.0004
-0.0002376,0.0004
-0.0002374,-0.0008
-0.0002372,-0.0016
-0.000237,-0.0004
-0.0002368,0.0004
-0.0002366,0.0012000000000000001
-0.0002364,-0.0004
-0.0002362,-0.0004
-0.000236,0.0032
-0.00023579999999999999,0.002
-0.00023559999999999998,0.0032
-0.0002354,0.0032
-0.0002352,0.0032
-0.000235,0.0028
-0.0002348,0.002
-0.00023459999999999998,0.0032
-0.0002344,0.0036000000000000003
-0.0002342,0.0032
-0.000234,0.0028
-0.0002338,0.002
-0.00023359999999999999,0.0032
-0.00023339999999999998,0.0032
-0.0002332,0.0048000000000000004
-0.000233,0.0036000000000000003
-0.0002328,0.0032
-0.0002326,0.0048000000000000004
-0.00023239999999999998,0.004
-0.0002322,0.005200000000000001
-0.000232,0.0032
-0.0002318,0.0044
-0.0002316,0.0032
-0.0002314,0.0032
-0.00023119999999999998,0.0024000000000000002
-0.000231,0.0024000000000000002
-0.0002308,0.0024000000000000002
-0.0002306,0.0012000000000000001
-0.0002304,0.0016
-0.00023019999999999998,0.0008
-0.00023,0.002
-0.0002298,0.0036000000000000003
-0.0002296,0.0012000000000000001
-0.0002294,0.002
-0.0002292,-0.0004
-0.00022899999999999998,0.0008
-0.0002288,0.0012000000000000001
-0.0002286,0.002
-0.0002284,0.0016
-0.0002282,-0.0004
-0.00022799999999999999,0.0012000000000000001
-0.0002278,0.0
-0.0002276,0.0004
-0.0002274,0.0016
-0.0002272,0.0
-0.000227,0.0004
-0.00022679999999999998,0.0012000000000000001
-0.0002266,0.0028
-0.0002264,0.0024000000000000002
-0.0002262,0.0024000000000000002
-0.000226,0.0016
-0.00022579999999999999,0.002
-0.0002256,0.002
-0.0002254,0.0024000000000000002
-0.0002252,0.002
-0.000225,0.002
-0.0002248,0.0012000000000000001
-0.00022459999999999998,0.0012000000000000001
-0.0002244,0.0012000000000000001
-0.0002242,0.0016
-0.000224,0.0016
-0.0002238,0.0032
-0.0002236,0.002
-0.0002234,0.0028
-0.0002232,0.0032
-0.000223,0.0028
-0.0002228,0.0048000000000000004
-0.0002226,0.004
-0.00022239999999999998,0.0036000000000000003
-0.00022219999999999998,0.0032
-0.000222,0.0024000000000000002
-0.0002218,0.0044
-0.0002216,0.0012000000000000001
-0.0002214,0.004
-0.0002212,0.0012000000000000001
-0.000221,0.0008
-0.0002208,0.0024000000000000002
-0.0002206,0.0008
-0.0002204,0.0024000000000000002
-0.00022019999999999999,0.0008
-0.00021999999999999998,0.0028
-0.0002198,0.0032
-0.0002196,0.0032
-0.0002194,0.0044
-0.0002192,0.0032
-0.000219,0.0028
-0.0002188,0.0016
-0.0002186,0.0044
-0.0002184,0.0048000000000000004
-0.0002182,0.0028
-0.00021799999999999999,0.0032
-0.00021779999999999998,0.0004
-0.0002176,0.0004
-0.0002174,0.0016
-0.0002172,0.0016
-0.000217,0.0024000000000000002
-0.0002168,0.0012000000000000001
-0.0002166,0.0032
-0.0002164,0.0016
-0.0002162,0.0032
-0.000216,0.0024000000000000002
-0.0002158,0.0012000000000000001
-0.00021559999999999998,0.0028
-0.0002154,0.002
-0.0002152,0.004
-0.000215,0.0016
-0.0002148,0.0016
-0.0002146,0.0008
-0.0002144,-0.0012000000000000001
-0.0002142,0.0012000000000000001
-0.000214,0.002
-0.0002138,0.0012000000000000001
-0.0002136,0.0016
-0.00021339999999999998,0.0
-0.0002132,0.0024000000000000002
-0.000213,0.0008
-0.0002128,0.0028
-0.0002126,0.0036000000000000003
-0.0002124,0.0032
-0.0002122,0.004
-0.000212,0.002
-0.0002118,0.0028
-0.0002116,0.0016
-0.0002114,0.002
-0.00021119999999999998,0.002
-0.000211,0.0008
-0.0002108,0.0032
-0.0002106,0.0024000000000000002
-0.0002104,0.0032
-0.0002102,0.0024000000000000002
-0.00021,0.0024000000000000002
-0.0002098,0.0036000000000000003
-0.0002096,0.0028
-0.0002094,0.0048000000000000004
-0.0002092,0.004
-0.00020899999999999998,0.0028
-0.00020879999999999998,0.0032
-0.0002086,0.002
-0.0002084,0.0028
-0.0002082,0.002
-0.000208,0.0032
-0.0002078,0.0004
-0.0002076,0.0016
-0.0002074,0.0008
-0.0002072,0.0004
-0.000207,0.002
-0.00020679999999999999,0.0012000000000000001
-0.00020659999999999998,0.0024000000000000002
-0.0002064,0.0016
-0.0002062,0.0016
-0.000206,0.0032
-0.0002058,0.0024000000000000002
-0.0002056,0.0028
-0.0002054,0.0016
-0.0002052,0.0016
-0.000205,0.0028
-0.0002048,0.002
-0.00020459999999999999,0.0016
-0.00020439999999999998,0.0
-0.0002042,0.0004
-0.000204,0.0004
-0.0002038,0.002
-0.0002036,0.0028
-0.0002034,0.002
-0.0002032,0.0028
-0.000203,0.0016
-0.0002028,0.0024000000000000002
-0.0002026,0.0036000000000000003
-0.0002024,0.0028
-0.00020219999999999998,0.0028
-0.000202,0.0032
-0.0002018,0.0024000000000000002
-0.0002016,0.0024000000000000002
-0.0002014,0.0016
-0.0002012,0.002
-0.000201,0.0004
-0.0002008,0.0016
-0.0002006,0.0004
-0.0002004,0.0024000000000000002
-0.0002002,0.0024000000000000002
-0.00019999999999999998,0.0016
-0.0001998,0.0024000000000000002
-0.0001996,0.0008
-0.0001994,0.0024000000000000002
-0.0001992,0.002
-0.000199,0.0028
-0.0001988,0.0028
-0.0001986,0.0024000000000000002
-0.0001984,0.0024000000000000002
-0.0001982,0.0012000000000000001
-0.000198,0.0024000000000000002
-0.00019779999999999998,0.002
-0.0001976,0.0032
-0.0001974,0.0024000000000000002
-0.0001972,0.0008
-0.000197,0.0036000000000000003
-0.0001968,0.002
-0.0001966,0.004
-0.0001964,0.0032
-0.0001962,0.0028
-0.000196,0.0044
-0.0001958,0.0032
-0.00019559999999999998,0.0044
-0.0001954,0.0032
-0.0001952,0.0008
-0.000195,0.0032
-0.0001948,0.0008
-0.0001946,0.0024000000000000002
-0.0001944,0.0012000000000000001
-0.0001942,0.0024000000000000002
-0.000194,0.0016
-0.0001938,0.0008
-0.0001936,0.0024000000000000002
-0.00019339999999999998,0.0032
-0.00019319999999999998,0.0036000000000000003
-0.000193,0.0016
-0.0001928,0.0008
-0.0001926,0.004
-0.00019240000000000001,0.0012000000000000001
-0.0001922,0.002
-0.000192,0.0004
-0.0001918,0.0004
-0.0001916,0.0012000000000000001
-0.0001914,0.0008
-0.00019119999999999999,0.0016
-0.00019099999999999998,0.0
-0.0001908,0.0
