,V_e,V_m,fase,Re,Im
0,-2.5,3.95065e-12,23.232,3.63801e-12,1.5632e-12
1,-2.438775510204082,3.55273e-12,-100.524,-6.53703e-13,-3.52431e-12
2,-2.377551020408163,7.38968e-13,-40.602,5.68438e-13,-5.11594e-13
3,-2.316326530612245,3.92222e-12,-42.942,2.87061e-12,-2.70008e-12
4,-2.2551020408163267,2.7285e-12,-73.668,7.38968e-13,-2.64323e-12
5,-2.193877551020408,1.02319e-12,131.1,-7.10546e-13,7.6739e-13
6,-2.13265306122449,9.09502e-13,-36.252,7.38968e-13,-5.68438e-13
7,-2.0714285714285716,1.05161e-12,-50.082,6.82124e-13,-8.24233e-13
8,-2.010204081632653,3.41062e-12,13.494,3.29693e-12,7.95811e-13
9,-1.9489795918367347,2.18849e-12,19.536,2.04638e-12,7.10546e-13
10,-1.8877551020408163,2.33059e-12,43.56,1.67689e-12,1.59162e-12
11,-1.8265306122448979,1.30741e-12,-77.706,2.55797e-13,-1.30741e-12
12,-1.7653061224489797,3.21167e-12,-28.278,2.84218e-12,-1.53478e-12
13,-1.7040816326530612,3.49588e-12,-24.378,3.18325e-12,-1.47794e-12
14,-1.6428571428571428,9.09502e-13,-62.526,4.26327e-13,-8.52655e-13
15,-1.5816326530612246,2.52955e-12,98.346,-3.69484e-13,2.4727e-12
16,-1.5204081632653061,1.30741e-12,-127.302,-8.24233e-13,-1.05161e-12
17,-1.4591836734693877,7.38968e-13,-33.342,6.25281e-13,-4.26327e-13
18,-1.3979591836734695,3.86538e-12,-19.374,3.63801e-12,-1.30741e-12
19,-1.336734693877551,1.1653e-12,55.41,6.53703e-13,9.66345e-13
20,-1.2755102040816326,3.80854e-12,-167.664,-3.75169e-12,-8.24233e-13
21,-1.2142857142857144,2.89903e-12,26.712,2.55797e-12,1.27898e-12
22,-1.153061224489796,4.97383e-12,-37.524,3.92222e-12,-3.04114e-12
23,-1.0918367346938775,5.11594e-12,4.668,5.08751e-12,3.97906e-13
24,-1.0306122448979593,3.66643e-12,-61.806,1.70531e-12,-3.24009e-12
25,-0.9693877551020409,5.14436e-12,-19.428,4.86014e-12,-1.70531e-12
26,-0.9081632653061225,1.819e-12,-51.666,1.10845e-12,-1.44951e-12
27,-0.846938775510204,2.84218e-12,13.548,2.75692e-12,6.53703e-13
28,-0.7857142857142858,8.81076e-13,7.524,8.81076e-13,1.13688e-13
29,-0.7244897959183674,3.60957e-12,2.112,3.60957e-12,1.13688e-13
30,-0.6632653061224489,2.7285e-12,-3.486,2.7285e-12,-1.70531e-13
31,-0.6020408163265307,1.42109e-13,-153.438,-1.42109e-13,-8.52656e-14
32,-0.5408163265306123,3.3822e-12,-2.82,3.3822e-12,-1.70531e-13
33,-0.4795918367346941,3.1264e-12,-32.844,2.61481e-12,-1.70531e-12
34,-0.4183673469387754,4.03591e-12,-0.942,4.03591e-12,-8.52656e-14
35,-0.3571428571428572,5.51384e-12,-27.414,4.88856e-12,-2.55797e-12
36,-0.295918367346939,4.86014e-12,-3.318,4.86014e-12,-2.84219e-13
37,-0.23469387755102034,6.08227e-12,-26.148,5.457e-12,-2.70008e-12
38,-0.17346938775510212,2.27375e-12,10.08,2.24533e-12,3.97906e-13
39,-0.11224489795918391,5.74121e-12,-23.376,5.25804e-12,-2.30217e-12
40,-0.05102040816326525,4.29171e-12,11.352,4.20644e-12,8.24233e-13
41,0.010204081632652962,8.86763e-12,-38.226,6.96335e-12,-5.51384e-12
42,0.07142857142857117,1.08287e-11,1.32,1.08287e-11,2.27375e-13
43,0.13265306122448983,1.15393e-11,-0.906,1.15393e-11,-1.98953e-13
44,0.19387755102040805,1.11414e-11,-4.116,1.11129e-11,-8.24233e-13
45,0.25510204081632626,1.29319e-11,13.998,1.25625e-11,3.1264e-12
46,0.3163265306122449,1.1994e-11,-0.318,1.1994e-11,-8.52656e-14
47,0.37755102040816313,1.55468e-11,-5.526,1.54899e-11,-1.50636e-12
48,0.43877551020408134,1.31593e-11,-0.726,1.31593e-11,-1.70531e-13
49,0.5,1.03456e-11,7.674,1.02603e-11,1.36425e-12
