,V_m,fase,Re,Im
0,1.59162e-12,-53.616,9.09502e-13,-1.36425e-12
1,2.16006e-12,-88.266,0.0,-2.27375e-12
2,2.7285e-12,-30.966,2.27375e-12,-1.47794e-12
3,5.68438e-13,18.432,5.68438e-13,1.13688e-13
4,1.93269e-12,68.55,6.82124e-13,1.819e-12
5,3.18325e-12,34.02,2.61481e-12,1.70531e-12
6,2.38744e-12,-23.808,2.16006e-12,-1.02319e-12
7,5.91174e-12,-26.562,5.22962e-12,-2.7285e-12
8,2.95587e-12,79.692,4.54751e-13,2.84218e-12
9,3.86538e-12,-49.818,2.50112e-12,-3.06956e-12
10,9.09502e-13,86.184,0.0,9.09502e-13
11,2.27375e-12,-48.504,1.47794e-12,-1.819e-12
12,2.95587e-12,-6.204,2.95587e-12,-3.41062e-13
13,4.32013e-12,-0.87,4.32013e-12,-1.13688e-13
14,1.93269e-12,-21.45,1.819e-12,-7.95811e-13
15,6.2528e-12,-29.292,5.457e-12,-3.06956e-12
16,4.43381e-12,10.308,4.32013e-12,7.95811e-13
17,5.79806e-12,5.838,5.79806e-12,5.68438e-13
18,5.22962e-12,-15.444,5.00225e-12,-1.47794e-12
19,5.91174e-12,-14.97,5.68437e-12,-1.59162e-12
20,5.79806e-12,-7.29,5.68437e-12,-7.95811e-13
21,5.11594e-12,22.218,4.66119e-12,1.93269e-12
22,5.457e-12,-26.562,4.88856e-12,-2.50112e-12
23,6.59386e-12,-33.048,5.457e-12,-3.63801e-12
24,5.11594e-12,-0.732,5.11594e-12,-1.13688e-13
25,7.95813e-12,2.364,7.95813e-12,2.27375e-13
26,8.52657e-12,6.24,8.52657e-12,9.09502e-13
27,7.50339e-12,-10.716,7.3897e-12,-1.47794e-12
28,6.59386e-12,-5.826,6.48018e-12,-6.82124e-13
29,1.05729e-11,20.808,9.89081e-12,3.75169e-12
30,9.89081e-12,-10.782,9.77712e-12,-1.93269e-12
31,9.095e-12,9.666,8.98132e-12,1.47794e-12
32,9.095e-12,11.31,8.98132e-12,1.70531e-12
33,1.26193e-11,6.936,1.25056e-11,1.47794e-12
34,1.15961e-11,12.21,1.13687e-11,2.38744e-12
35,1.14824e-11,10.986,1.12551e-11,2.16006e-12
36,1.64847e-11,3.936,1.6371e-11,1.02319e-12
37,1.97816e-11,5.982,1.96679e-11,2.04638e-12
38,2.17143e-11,5.082,2.17143e-11,1.93269e-12
39,2.27375e-11,3.858,2.26238e-11,1.47794e-12
40,2.93314e-11,-0.654,2.93314e-11,-3.41062e-13
41,2.95588e-11,3.48,2.95588e-11,1.70531e-12
42,3.37652e-11,6.342,3.35378e-11,3.63801e-12
43,3.53568e-11,2.262,3.53568e-11,1.36425e-12
44,3.71758e-11,4.722,3.70621e-11,2.95587e-12
45,4.09275e-11,3.078,4.09275e-11,2.16006e-12
46,4.45655e-11,2.4,4.44518e-11,1.819e-12
47,4.75213e-11,5.304,4.72939e-11,4.32013e-12
48,4.86582e-11,5.736,4.84308e-11,4.77487e-12
49,5.42288e-11,4.716,5.41152e-11,4.43381e-12
