,V_e,V_m,fase,Re,Im
0,-2.5,7.53048e-12,-76.512,1.75594e-12,-7.32353e-12
1,-2.45959595959596,7.53625e-12,-78.252,1.53478e-12,-7.3786e-12
2,-2.419191919191919,7.43988e-12,-80.586,1.21681e-12,-7.33996e-12
3,-2.378787878787879,7.42301e-12,-78.378,1.49481e-12,-7.27154e-12
4,-2.3383838383838382,7.50072e-12,-77.628,1.60717e-12,-7.32664e-12
5,-2.297979797979798,7.33641e-12,-79.788,1.3003e-12,-7.22047e-12
6,-2.257575757575758,7.52381e-12,-80.652,1.22214e-12,-7.42434e-12
7,-2.217171717171717,7.53581e-12,-78.294,1.52856e-12,-7.37993e-12
8,-2.176767676767677,7.09924e-12,-81.024,1.10757e-12,-7.01264e-12
9,-2.1363636363636362,7.58599e-12,-79.626,1.36558e-12,-7.46253e-12
10,-2.095959595959596,7.46653e-12,-79.446,1.36691e-12,-7.34085e-12
11,-2.0555555555555554,7.65749e-12,-78.792,1.48815e-12,-7.51182e-12
12,-2.015151515151515,7.4088e-12,-80.604,1.20926e-12,-7.30976e-12
13,-1.9747474747474747,7.66281e-12,-81.624,1.116e-12,-7.58155e-12
14,-1.9343434343434343,7.57577e-12,-82.38,1.00409e-12,-7.5096e-12
15,-1.893939393939394,7.48607e-12,-77.304,1.64536e-12,-7.30355e-12
16,-1.8535353535353534,7.99899e-12,-82.044,1.10757e-12,-7.92261e-12
17,-1.8131313131313131,7.46209e-12,-81.804,1.0636e-12,-7.38615e-12
18,-1.7727272727272727,7.29289e-12,-79.524,1.32561e-12,-7.17162e-12
19,-1.7323232323232323,7.37416e-12,-82.722,9.33927e-13,-7.31554e-12
20,-1.6919191919191918,7.4421e-12,-79.764,1.32206e-12,-7.32397e-12
21,-1.6515151515151514,7.70278e-12,-81.366,1.15597e-12,-7.61574e-12
22,-1.6111111111111112,7.70012e-12,-81.792,1.09957e-12,-7.62151e-12
23,-1.5707070707070705,7.28578e-12,-78.408,1.46417e-12,-7.13743e-12
24,-1.5303030303030303,7.70278e-12,-81.33,1.16086e-12,-7.6153e-12
25,-1.4898989898989898,7.5478e-12,-78.438,1.51257e-12,-7.39458e-12
