,V_e,V_m,fase,Re,Im
0,-4.0,2.18431e-11,-137.088,-1.65504e-11,-1.53851e-11
1,-3.9194630872483223,1.83099e-11,-133.08,-1.25074e-11,-1.33742e-11
2,-3.8389261744966445,1.29124e-11,-129.03,-8.13133e-12,-1.00311e-11
3,-3.7583892617449663,8.25212e-12,-125.532,-4.79708e-12,-6.71643e-12
4,-3.6778523489932886,4.96495e-12,-122.31,-2.65389e-12,-4.19667e-12
5,-3.597315436241611,2.8937e-12,-119.37,-1.41932e-12,-2.52244e-12
6,-3.5167785234899327,1.65113e-12,-117.756,-7.70054e-13,-1.46195e-12
7,-3.436241610738255,9.0861e-13,-118.614,-4.36097e-13,-7.98476e-13
8,-3.3557046979865772,4.6985e-13,-121.662,-2.46915e-13,-4.0057e-13
9,-3.2751677852348995,2.29152e-13,-129.936,-1.47438e-13,-1.76748e-13
10,-3.1946308724832218,1.02141e-13,-148.272,-8.79301e-14,-5.41791e-14
11,-3.1140939597315436,3.19746e-14,165.678,-3.19746e-14,7.99366e-15
12,-3.033557046979866,7.19429e-14,45.744,5.06264e-14,5.15146e-14
13,-2.953020134228188,1.50103e-13,33.828,1.25234e-13,8.34892e-14
14,-2.87248322147651,2.10499e-13,31.182,1.80301e-13,1.09246e-13
15,-2.791946308724832,2.4958e-13,36.318,2.00729e-13,1.47438e-13
16,-2.7114093959731544,2.90436e-13,42.408,2.1494e-13,1.96288e-13
17,-2.6308724832214767,3.68596e-13,42.948,2.6912e-13,2.50468e-13
18,-2.550335570469799,4.6008e-13,39.54,3.55273e-13,2.93101e-13
19,-2.469798657718121,5.41792e-13,39.012,4.20998e-13,3.41062e-13
20,-2.389261744966443,5.98636e-13,43.512,4.34321e-13,4.12117e-13
21,-2.3087248322147653,6.3061e-13,47.268,4.27216e-13,4.62744e-13
22,-2.228187919463087,6.43045e-13,50.466,4.08564e-13,4.95607e-13
23,-2.1476510067114094,6.64361e-13,55.914,3.72148e-13,5.49786e-13
24,-2.0671140939597317,7.37192e-13,60.84,3.58826e-13,6.43933e-13
25,-1.986577181208054,8.33115e-13,61.59,3.96129e-13,7.32751e-13
26,-1.9060402684563762,8.84629e-13,59.088,4.53861e-13,7.58508e-13
27,-1.825503355704698,9.04169e-13,56.79,4.94719e-13,7.55843e-13
28,-1.7449664429530203,9.11278e-13,56.238,5.06265e-13,7.5762e-13
29,-1.6644295302013425,9.43252e-13,56.088,5.25805e-13,7.82489e-13
30,-1.5838926174496644,1.00898e-12,58.59,5.25805e-13,8.60648e-13
31,-1.5033557046979866,1.07559e-12,61.464,5.13371e-13,9.45029e-13
32,-1.422818791946309,1.16707e-12,61.782,5.51562e-13,1.02852e-12
33,-1.3422818791946312,1.32073e-12,63.15,5.95971e-13,1.17773e-12
34,-1.2617449664429534,1.46284e-12,64.44,6.3061e-13,1.31984e-12
35,-1.1812080536912752,1.58452e-12,64.134,6.91006e-13,1.42553e-12
36,-1.1006711409395975,1.69021e-12,63.03,7.66501e-13,1.50636e-12
37,-1.0201342281879198,1.80301e-12,62.148,8.41997e-13,1.59429e-12
38,-0.9395973154362416,1.92825e-12,61.692,9.13943e-13,1.69732e-12
39,-0.8590604026845639,2.05259e-12,62.256,9.55687e-13,1.81633e-12
40,-0.7785234899328861,2.2098e-12,62.982,1.00365e-12,1.96822e-12
41,-0.6979865771812084,2.38833e-12,63.306,1.07293e-12,2.13431e-12
42,-0.6174496644295306,2.57751e-12,64.008,1.12977e-12,2.31638e-12
43,-0.5369127516778525,2.76669e-12,64.41,1.19461e-12,2.4958e-12
44,-0.4563758389261747,2.96831e-12,64.536,1.27632e-12,2.67965e-12
45,-0.375838926174497,3.21167e-12,65.034,1.35537e-12,2.91235e-12
46,-0.2953020134228188,3.48167e-12,65.802,1.42642e-12,3.17525e-12
47,-0.21476510067114107,3.77123e-12,66.174,1.52323e-12,3.4497e-12
48,-0.13422818791946334,4.03946e-12,66.966,1.58008e-12,3.71705e-12
49,-0.0536912751677856,4.20555e-12,68.706,1.52679e-12,3.91867e-12
50,0.026845637583892135,4.18335e-12,71.766,1.30918e-12,3.97374e-12
51,0.10738255033557031,3.95775e-12,77.034,8.87294e-13,3.8565e-12
52,0.1879194630872476,3.55983e-12,85.62,2.71784e-13,3.54917e-12
53,0.2684563758389258,3.08022e-12,99.768,-5.23141e-13,3.03581e-12
54,0.34899328859060397,2.75248e-12,122.532,-1.4806e-12,2.32082e-12
55,0.42953020134228126,2.93278e-12,149.928,-2.53932e-12,1.46905e-12
56,0.5100671140939594,3.66376e-12,170.976,-3.61845e-12,5.73767e-13
57,0.5906040268456376,4.73757e-12,-176.238,-4.72869e-12,-3.10864e-13
58,0.6711409395973149,5.92773e-12,-168.432,-5.80783e-12,-1.18928e-12
59,0.7516778523489931,7.08503e-12,-163.188,-6.78305e-12,-2.04993e-12
60,0.8322147651006713,8.19439e-12,-159.438,-7.67303e-12,-2.8786e-12
61,0.9127516778523486,9.24688e-12,-156.786,-8.49903e-12,-3.646e-12
62,0.9932885906040267,1.02319e-11,-154.818,-9.2602e-12,-4.35388e-12
63,1.073825503355704,1.112e-11,-153.342,-9.93877e-12,-4.98981e-12
64,1.1543624161073822,1.19354e-11,-152.142,-1.05534e-11,-5.57779e-12
65,1.2348993288590604,1.26557e-11,-151.026,-1.1073e-11,-6.13112e-12
66,1.3154362416107377,1.33103e-11,-149.916,-1.1518e-11,-6.67291e-12
67,1.3959731543624159,1.39267e-11,-148.95,-1.19318e-11,-7.18361e-12
68,1.4765100671140932,1.45502e-11,-148.134,-1.23573e-11,-7.6828e-12
69,1.5570469798657713,1.51382e-11,-147.42,-1.27579e-11,-8.15176e-12
70,1.6375838926174495,1.56942e-11,-146.844,-1.31398e-11,-8.58341e-12
71,1.7181208053691268,1.62369e-11,-146.292,-1.35075e-11,-9.01151e-12
72,1.798657718120805,1.67192e-11,-145.8,-1.3829e-11,-9.39876e-12
73,1.8791946308724832,1.71961e-11,-145.398,-1.41558e-11,-9.76647e-12
74,1.9597315436241605,1.77388e-11,-145.104,-1.45502e-11,-1.01484e-11
75,2.0402684563758386,1.82753e-11,-144.84,-1.49419e-11,-1.05241e-11
76,2.120805369127517,1.87318e-11,-144.474,-1.52466e-11,-1.08847e-11
77,2.201342281879194,1.91244e-11,-144.066,-1.54855e-11,-1.1224e-11
78,2.2818791946308723,1.95063e-11,-143.712,-1.57244e-11,-1.15455e-11
79,2.3624161073825496,1.98873e-11,-143.406,-1.59678e-11,-1.18563e-11
80,2.4429530201342278,2.02222e-11,-143.088,-1.61703e-11,-1.21459e-11
81,2.523489932885906,2.04939e-11,-142.83,-1.6331e-11,-1.2383e-11
82,2.6040268456375832,2.07355e-11,-142.608,-1.64749e-11,-1.25926e-11
83,2.6845637583892614,2.09549e-11,-142.416,-1.66073e-11,-1.27809e-11
84,2.7651006711409387,2.11405e-11,-142.23,-1.6713e-11,-1.29488e-11
85,2.845637583892617,2.13288e-11,-142.044,-1.68178e-11,-1.31202e-11
86,2.926174496644295,2.15065e-11,-141.852,-1.69137e-11,-1.32854e-11
87,3.0067114093959724,2.17001e-11,-141.63,-1.70149e-11,-1.34702e-11
88,3.0872483221476505,2.18431e-11,-141.468,-1.71437e-11,-1.36514e-11
89,3.1677852348993287,2.18431e-11,-141.39,-1.72672e-11,-1.37899e-11
90,3.248322147651006,2.18431e-11,-141.258,-1.73498e-11,-1.39214e-11
91,3.328859060402684,2.18431e-11,-141.138,-1.74324e-11,-1.40466e-11
92,3.4093959731543624,2.18431e-11,-141.06,-1.7523e-11,-1.41594e-11
93,3.4899328859060397,2.18431e-11,-140.988,-1.75807e-11,-1.42429e-11
94,3.570469798657718,2.18431e-11,-140.856,-1.76029e-11,-1.43264e-11
95,3.651006711409395,2.18431e-11,-140.688,-1.76065e-11,-1.4417e-11
96,3.7315436241610733,2.18431e-11,-140.544,-1.76376e-11,-1.45164e-11
97,3.8120805369127515,2.18431e-11,-140.442,-1.77131e-11,-1.4632e-11
98,3.892617449664429,2.18431e-11,-140.382,-1.7793e-11,-1.47279e-11
99,3.973154362416107,2.18431e-11,-140.37,-1.78756e-11,-1.48052e-11
100,4.053691275167784,2.18431e-11,-140.364,-1.79609e-11,-1.48762e-11
101,4.134228187919463,2.18431e-11,-140.322,-1.80337e-11,-1.49588e-11
102,4.214765100671141,2.18431e-11,-140.244,-1.80861e-11,-1.5045e-11
103,4.295302013422818,2.18431e-11,-140.136,-1.81216e-11,-1.51338e-11
104,4.375838926174495,2.18431e-11,-139.992,-1.81163e-11,-1.52066e-11
105,4.456375838926174,2.18431e-11,-139.812,-1.80861e-11,-1.52777e-11
106,4.536912751677852,2.18431e-11,-139.668,-1.8087e-11,-1.53567e-11
107,4.617449664429529,2.18431e-11,-139.566,-1.80914e-11,-1.54144e-11
108,4.697986577181208,2.18431e-11,-139.494,-1.81003e-11,-1.54624e-11
109,4.778523489932885,2.18431e-11,-139.5,-1.81518e-11,-1.55015e-11
110,4.8590604026845625,2.18431e-11,-139.494,-1.82158e-11,-1.55592e-11
111,4.939597315436242,2.18431e-11,-139.44,-1.82691e-11,-1.56347e-11
112,5.020134228187919,2.18431e-11,-139.416,-1.83197e-11,-1.56916e-11
