,V_e,V_m,fase,Re,Im
0,-4.0,1.37047e-12,-98.022,-1.91847e-13,-1.35803e-12
1,-3.9194630872483223,5.87089e-13,-130.674,-3.82807e-13,-4.45867e-13
2,-3.8389261744966445,3.55273e-13,-96.246,-3.90801e-14,-3.53497e-13
3,-3.7583892617449663,3.02871e-13,16.998,2.89548e-13,8.79301e-14
4,-3.6778523489932886,5.7199e-13,56.586,3.15305e-13,4.77843e-13
5,-3.597315436241611,4.84949e-13,61.074,2.34481e-13,4.24551e-13
6,-3.5167785234899327,7.16763e-13,52.968,4.31656e-13,5.7199e-13
7,-3.436241610738255,8.83741e-13,36.57,7.09658e-13,5.25805e-13
8,-3.3557046979865772,1.05783e-12,44.796,7.50514e-13,7.45185e-13
9,-3.2751677852348995,8.793e-13,56.898,4.80508e-13,7.37192e-13
10,-3.1946308724832218,9.85885e-13,41.904,7.33639e-13,6.58144e-13
11,-3.1140939597315436,1.34116e-12,52.614,8.14463e-13,1.06582e-12
12,-3.033557046979866,1.05783e-12,56.754,5.79096e-13,8.83741e-13
13,-2.953020134228188,1.09602e-12,50.97,6.90118e-13,8.51767e-13
14,-2.87248322147651,1.26388e-12,50.862,7.97588e-13,9.80556e-13
15,-2.791946308724832,1.57386e-12,57.222,8.51767e-13,1.3225e-12
16,-2.7114093959731544,1.26566e-12,36.714,1.01431e-12,7.55843e-13
17,-2.6308724832214767,1.37313e-12,54.42,7.98476e-13,1.11645e-12
18,-2.550335570469799,1.13332e-12,60.09,5.64885e-13,9.82332e-13
19,-2.469798657718121,1.45218e-12,49.056,9.51246e-13,1.09691e-12
20,-2.389261744966443,1.42109e-12,50.496,9.04169e-13,1.09691e-12
21,-2.3087248322147653,1.26566e-12,51.804,7.82489e-13,9.93879e-13
22,-2.228187919463087,1.66978e-12,47.346,1.13155e-12,1.22836e-12
23,-2.1476510067114094,1.48771e-12,49.614,9.63681e-13,1.13243e-12
24,-2.0671140939597317,1.71508e-12,53.994,1.00809e-12,1.38734e-12
25,-1.986577181208054,1.88473e-12,50.106,1.20882e-12,1.44596e-12
26,-1.9060402684563762,1.74439e-12,48.594,1.15375e-12,1.30829e-12
27,-1.825503355704698,1.68843e-12,53.928,9.93879e-13,1.36514e-12
28,-1.7449664429530203,1.78347e-12,48.168,1.18928e-12,1.32872e-12
29,-1.6644295302013425,1.92825e-12,52.248,1.1804e-12,1.52412e-12
30,-1.5838926174496644,2.09789e-12,49.08,1.37402e-12,1.58541e-12
31,-1.5033557046979866,2.2924e-12,53.262,1.37047e-12,1.83677e-12
32,-1.422818791946309,2.22224e-12,43.956,1.59962e-12,1.54188e-12
33,-1.3422818791946312,2.06236e-12,52.158,1.26477e-12,1.62804e-12
34,-1.2617449664429534,2.14496e-12,51.438,1.33672e-12,1.67689e-12
35,-1.1812080536912752,2.23645e-12,49.254,1.45928e-12,1.69376e-12
36,-1.1006711409395975,2.46116e-12,52.47,1.49925e-12,1.95223e-12
37,-1.0201342281879198,2.43451e-12,51.012,1.53123e-12,1.89183e-12
38,-0.9395973154362416,2.41231e-12,53.1,1.44863e-12,1.92914e-12
39,-0.8590604026845639,2.4505e-12,51.438,1.52767e-12,1.91581e-12
40,-0.7785234899328861,2.55442e-12,51.63,1.58541e-12,2.00286e-12
41,-0.6979865771812084,2.47448e-12,52.134,1.51879e-12,1.95312e-12
42,-0.6174496644295306,2.58284e-12,49.026,1.69376e-12,1.95045e-12
43,-0.5369127516778525,2.85107e-12,49.692,1.84387e-12,2.17427e-12
44,-0.4563758389261747,2.72672e-12,47.406,1.84565e-12,2.0073e-12
45,-0.375838926174497,2.8182e-12,50.682,1.78525e-12,2.18049e-12
46,-0.2953020134228188,2.6983e-12,56.598,1.48504e-12,2.25243e-12
47,-0.21476510067114107,1.98776e-12,61.242,9.56575e-13,1.74261e-12
48,-0.13422818791946334,8.26009e-13,66.828,3.25075e-13,7.59396e-13
49,-0.0536912751677856,9.13943e-13,-167.202,-8.92623e-13,-2.03394e-13
50,0.026845637583892135,2.45316e-12,-139.68,-1.87141e-12,-1.58807e-12
51,0.10738255033557031,4.2997e-12,-140.784,-3.33157e-12,-2.71873e-12
52,0.1879194630872476,6.3736e-12,-137.604,-4.70826e-12,-4.29792e-12
53,0.2684563758389258,7.87465e-12,-136.686,-5.73055e-12,-5.40282e-12
54,0.34899328859060397,9.11987e-12,-135.396,-6.4935e-12,-6.40468e-12
55,0.42953020134228126,1.02718e-11,-137.196,-7.53714e-12,-6.98022e-12
