,V_e,V_m,fase,Re,Im
0,-2.0,1.47305e-12,-48.318,9.79224e-13,-1.1009e-12
1,-1.9393939393939394,7.36747e-13,-43.332,5.35575e-13,-5.05821e-13
2,-1.878787878787879,6.27057e-13,-58.008,3.32625e-13,-5.32022e-13
3,-1.8181818181818181,1.0485e-12,-55.122,5.9908e-13,-8.60648e-13
4,-1.7575757575757576,6.36383e-13,-53.364,3.79698e-13,-5.1115e-13
5,-1.696969696969697,8.11799e-13,-53.682,4.80952e-13,-6.54591e-13
6,-1.6363636363636362,8.38e-13,-60.93,4.07232e-13,-7.32751e-13
7,-1.5757575757575757,7.34527e-13,-71.19,2.36701e-13,-6.95891e-13
8,-1.5151515151515151,8.12243e-13,-56.736,4.45423e-13,-6.7946e-13
9,-1.4545454545454546,8.11799e-13,-62.676,3.72593e-13,-7.21648e-13
10,-1.393939393939394,7.46517e-13,-67.086,2.90436e-13,-6.87898e-13
11,-1.3333333333333333,6.94559e-13,-68.016,2.59794e-13,-6.44377e-13
12,-1.2727272727272727,6.39492e-13,-73.53,1.81189e-13,-6.13735e-13
13,-1.2121212121212122,7.90482e-13,-83.928,8.34892e-14,-7.86485e-13
14,-1.1515151515151514,7.15431e-13,-73.998,1.97176e-13,-6.88342e-13
15,-1.0909090909090908,5.44013e-13,-57.732,2.90436e-13,-4.60524e-13
16,-1.0303030303030303,9.36591e-13,-79.692,1.67422e-13,-9.21936e-13
17,-0.9696969696969697,1.13377e-12,-44.19,8.12687e-13,-7.90482e-13
18,-0.9090909090909092,4.0812e-13,-133.116,-2.79334e-13,-2.97986e-13
19,-0.8484848484848484,5.02712e-13,-87.834,1.86519e-14,-5.02712e-13
20,-0.7878787878787878,7.33195e-13,-111.468,-2.68676e-13,-6.82124e-13
21,-0.7272727272727273,6.23949e-13,-84.21,6.2617e-14,-6.21728e-13
22,-0.6666666666666665,5.08486e-13,-82.014,7.06106e-14,-5.04045e-13
23,-0.606060606060606,7.45629e-13,-96.75,-8.79301e-14,-7.40744e-13
24,-0.5454545454545454,6.15067e-13,-101.976,-1.27899e-13,-6.02188e-13
25,-0.48484848484848486,6.03077e-13,-87.564,2.53132e-14,-6.02633e-13
26,-0.4242424242424243,6.4793e-13,-119.556,-3.19746e-13,-5.63997e-13
27,-0.36363636363636354,6.74575e-13,-100.53,-1.23458e-13,-6.63917e-13
28,-0.303030303030303,4.69406e-13,-79.782,8.30451e-14,-4.62744e-13
29,-0.24242424242424243,6.21284e-13,-83.442,7.06106e-14,-6.17732e-13
30,-0.18181818181818166,6.44821e-13,-136.38,-4.67185e-13,-4.44979e-13
31,-0.1212121212121211,5.48454e-13,-93.9,-3.77478e-14,-5.47565e-13
32,-0.06060606060606055,9.22824e-13,-66.324,3.70372e-13,-8.45549e-13
33,0.0,1.30963e-12,-19.146,1.23768e-12,-4.2988e-13
34,0.06060606060606055,6.07073e-13,-20.292,5.69326e-13,-2.10943e-13
35,0.1212121212121211,4.03679e-13,-100.032,-7.06106e-14,-3.9835e-13
36,0.18181818181818166,8.11354e-13,-52.158,4.97827e-13,-6.41268e-13
37,0.24242424242424265,3.69928e-13,-77.19,8.17128e-14,-3.61046e-13
38,0.3030303030303032,1.03385e-12,-55.29,5.88866e-13,-8.50434e-13
39,0.36363636363636376,7.85597e-13,-50.658,4.98272e-13,-6.08406e-13
40,0.4242424242424243,1.07159e-12,-55.134,6.12402e-13,-8.793e-13
41,0.48484848484848486,9.68121e-13,-36.162,7.816e-13,-5.71546e-13
42,0.5454545454545454,1.04939e-12,-47.34,7.1099e-13,-7.72275e-13
43,0.606060606060606,1.01209e-12,-48.348,6.7191e-13,-7.56287e-13
44,0.666666666666667,9.48581e-13,-30.648,8.16239e-13,-4.84061e-13
45,0.7272727272727275,8.82409e-13,-45.84,6.14623e-13,-6.33719e-13
46,0.7878787878787881,1.21548e-12,-35.076,9.94767e-13,-6.99e-13
47,0.8484848484848486,1.42687e-12,-31.224,1.21992e-12,-7.39856e-13
