,V_e,V_m,fase,Re,Im
0,-2.5,1.23813e-12,156.708,-1.13732e-12,4.8939e-13
1,-2.45959595959596,1.05161e-12,150.858,-9.19272e-13,5.12038e-13
2,-2.419191919191919,1.22614e-12,142.668,-9.75227e-13,7.43409e-13
3,-2.378787878787879,9.37923e-13,148.542,-8.00696e-13,4.8939e-13
4,-2.3383838383838382,1.02363e-12,153.954,-9.2016e-13,4.4942e-13
5,-2.297979797979798,1.2781e-12,171.828,-1.26522e-12,1.81633e-13
6,-2.257575757575758,8.81521e-13,165.672,-8.54875e-13,2.18049e-13
7,-2.217171717171717,1.06937e-12,165.36,-1.03518e-12,2.70008e-13
8,-2.176767676767677,9.26377e-13,165.306,-8.9662e-13,2.34481e-13
9,-2.1363636363636362,9.85885e-13,161.946,-9.37923e-13,3.05535e-13
10,-2.095959595959596,9.72562e-13,170.022,-9.58351e-13,1.68311e-13
11,-2.0555555555555554,1.03829e-12,155.118,-9.42364e-13,4.36986e-13
12,-2.015151515151515,1.04717e-12,150.882,-9.15275e-13,5.09374e-13
13,-1.9747474747474747,1.10224e-12,162.768,-1.05294e-12,3.26407e-13
14,-1.9343434343434343,9.19716e-13,165.606,-8.91291e-13,2.28264e-13
15,-1.893939393939394,1.0374e-12,163.326,-9.94323e-13,2.97542e-13
16,-1.8535353535353534,1.09558e-12,157.056,-1.00942e-12,4.27216e-13
17,-1.8131313131313131,1.32206e-12,172.95,-1.31229e-12,1.61649e-13
18,-1.7727272727272727,1.14487e-12,157.566,-1.05827e-12,4.36541e-13
19,-1.7323232323232323,9.63236e-13,168.0,-9.42808e-13,2.00285e-13
20,-1.6919191919191918,9.52578e-13,167.352,-9.30374e-13,2.08279e-13
21,-1.6515151515151514,1.28298e-12,160.932,-1.21326e-12,4.19222e-13
22,-1.6111111111111112,1.03829e-12,164.094,-9.99208e-13,2.84219e-13
23,-1.5707070707070705,8.54875e-13,157.2,-7.88706e-13,3.31292e-13
24,-1.5303030303030303,9.55243e-13,163.896,-9.18383e-13,2.64679e-13
25,-1.4898989898989898,1.02052e-12,173.682,-1.01475e-12,1.11911e-13
26,-1.4494949494949494,1.13243e-12,177.924,-1.13199e-12,4.08564e-14
27,-1.409090909090909,1.15464e-12,163.554,-1.10801e-12,3.26851e-13
28,-1.3686868686868685,1.0525e-12,138.63,-7.90482e-13,6.95891e-13
29,-1.3282828282828283,8.21124e-13,137.268,-6.03521e-13,5.56891e-13
30,-1.2878787878787878,1.27765e-12,155.4,-1.16219e-12,5.31578e-13
31,-1.2474747474747474,7.70498e-13,173.892,-7.66501e-13,8.17128e-14
32,-1.207070707070707,1.13066e-12,167.694,-1.10534e-12,2.40698e-13
33,-1.1666666666666665,1.18128e-12,-172.542,-1.17196e-12,-1.53656e-13
34,-1.126262626262626,1.03784e-12,151.17,-9.09946e-13,5.00492e-13
35,-1.0858585858585856,9.9077e-13,161.832,-9.4192e-13,3.08644e-13
36,-1.0454545454545454,1.07026e-12,165.444,-1.03562e-12,2.68676e-13
37,-1.005050505050505,1.42287e-12,-163.704,-1.36603e-12,-3.99682e-13
38,-0.9646464646464645,1.08891e-12,176.154,-1.08669e-12,7.28311e-14
39,-0.9242424242424241,1.09424e-12,171.258,-1.08181e-12,1.6609e-13
40,-0.8838383838383836,1.04717e-12,158.13,-9.72562e-13,3.89912e-13
41,-0.8434343434343432,9.36591e-13,169.836,-9.2238e-13,1.65202e-13
42,-0.803030303030303,1.09868e-12,169.374,-1.08003e-12,2.02506e-13
43,-0.7626262626262625,1.02852e-12,162.408,-9.81e-13,3.10864e-13
44,-0.7222222222222221,1.2701e-12,170.454,-1.25278e-12,2.10499e-13
45,-0.6818181818181817,1.17773e-12,163.83,-1.13155e-12,3.2774e-13
46,-0.6414141414141412,1.18084e-12,170.076,-1.16396e-12,2.03394e-13
47,-0.6010101010101008,9.53911e-13,153.666,-8.55319e-13,4.23219e-13
48,-0.5606060606060606,1.07381e-12,172.062,-1.06404e-12,1.47883e-13
49,-0.5202020202020201,1.11023e-12,160.956,-1.04983e-12,3.61934e-13
50,-0.47979797979797967,9.73006e-13,165.078,-9.41032e-13,2.50468e-13
51,-0.439393939393939,1.0898e-12,149.862,-9.42808e-13,5.47121e-13
52,-0.3989898989898988,1.14398e-12,155.328,-1.04006e-12,4.77399e-13
53,-0.35858585858585856,1.2137e-12,164.784,-1.17151e-12,3.18414e-13
54,-0.3181818181818179,1.04006e-12,165.15,-1.00631e-12,2.66455e-13
55,-0.2777777777777777,1.05561e-12,154.794,-9.55687e-13,4.4942e-13
56,-0.23737373737373701,8.43773e-13,160.194,-7.94035e-13,2.85551e-13
